SubID,BlockType,TrialType,Slope,Intercept,IPs,r_value,p_value
14.0,Negative,Low,-0.41160453180143125,-0.05979329613735228,1.054731200660837,-0.49945440976482774,2.7626505611466373e-11
14.0,Positive,High,-0.3223244663367487,-0.002979149363487005,1.190757296840214,-0.4249532302100705,2.617838242185297e-08
14.0,Positive,Low,-0.2898193679292327,-0.08350079317011617,0.9118867735902827,-0.39180450140541034,3.56494320954097e-07
15.0,Negative,High,-0.4803585004327883,-0.04569258536110444,1.1048781580425102,-0.5034536927021116,1.8099792165474125e-11
15.0,Negative,Low,-0.6477576542871797,-0.03566230170682573,1.1449449937475922,-0.6124455721833446,3.168162717209092e-17
15.0,Positive,High,-0.46831972465371163,-0.08087573002807517,1.027306590411333,-0.4630798065970918,8.98133807336408e-10
15.0,Positive,Low,-0.5202429811806956,-0.12530083069490905,0.9591494066665968,-0.4471962923555005,6.830619697046827e-09
16.0,Negative,High,-0.44445085576338367,-0.05098334240622447,1.0852891343438724,-0.518770704232766,3.992521328925245e-12
16.0,Negative,Low,-0.3318541066209684,-0.07268843738591674,0.9809626702346679,-0.3973700780512515,3.3473380892499775e-07
16.0,Positive,High,-0.46299555468658626,-0.059408637499473095,1.0716863760394235,-0.5270655411033353,8.077889751749643e-13
16.0,Positive,Low,-0.49217614168174467,-0.07761995805721178,1.0422923187784199,-0.5699881893545435,6.6272864843147815e-15
17.0,Negative,High,-0.11897563983220161,0.026383382155028657,1.4217544885006603,-0.16428710795261284,0.04042410713237895
17.0,Negative,Low,-0.017022404692583083,0.013983511559453501,2.0214768601727773,-0.024863687382338066,0.7557295139002564
17.0,Positive,High,-0.19291828826615828,0.03355634078347368,1.3739406931559435,-0.25840732122277144,0.001006432512454237
17.0,Positive,Low,-0.07331890322412593,0.03128927741800585,1.6267559393565774,-0.11071137994895085,0.17024776479998757
18.0,Negative,High,-0.5252874107843242,-0.0677684976646893,1.0709877749335321,-0.5594838409933707,3.150399028832275e-14
18.0,Negative,Low,-0.5235625513657636,-0.03508082271988989,1.1329959283215,-0.5942436244007219,1.8611509729559307e-16
18.0,Positive,High,-0.500072454907233,-0.04919742336068094,1.101619409591741,-0.5341531661532558,4.910288249804389e-13
18.0,Positive,Low,-0.39031303450309723,-0.06209700130136873,1.0409046180575965,-0.47468812295073626,2.5922125750192684e-10
19.0,Negative,High,-0.3275725473636997,0.032082702931997865,1.297940755994967,-0.465628814072097,9.071049003466062e-10
19.0,Negative,Low,-0.2707069587882106,-0.02920675167779045,1.0921093428535003,-0.4624185246281385,8.447768776787457e-10
19.0,Positive,High,-0.2804050928375219,0.03826687709841895,1.3364699788837013,-0.4543447885388129,2.0182848127097195e-09
19.0,Positive,Low,-0.23546059694514104,-0.011003156954082062,1.1532696464001335,-0.4344950420365556,1.302906461377193e-08
20.0,Negative,High,-0.29521393751947955,0.08390946328975968,1.4842327296427966,-0.43354787070798034,1.2687112651873065e-08
20.0,Negative,Low,-0.17649748281110084,0.08648582499954502,1.690011662614519,-0.2616943531242643,0.0008296920548945235
20.0,Positive,High,-0.23391669948745347,0.07914799572546335,1.5383597489999152,-0.3144076195482458,5.4350472373919575e-05
20.0,Positive,Low,-0.18559807454884752,0.09166466337035008,1.693888008230521,-0.2899694514345461,0.00024084938566036555
21.0,Negative,High,-0.27233047311884623,0.031934402427338124,1.3172634191892356,-0.37386867395266626,1.306345818482196e-06
21.0,Negative,Low,-0.3631580093642697,0.015348375480147619,1.24226362928637,-0.4796819103066104,1.5811201202268655e-10
21.0,Positive,High,-0.2983728710240923,-0.005761701273909835,1.1806895940165933,-0.44881958580954606,3.737003636008404e-09
21.0,Positive,Low,-0.39758803169463414,-0.021131598848262545,1.1468505157004008,-0.4961936493952458,3.36198922666187e-11
