SubID,BlockType,TrialType,Slope,Intercept,IPs,r_value,p_value
1.0,Negative,High,-0.6863805098412753,-0.06636875670746113,1.1033061752834314,-0.7372715554571472,3.4490589100004276e-28
1.0,Negative,Low,-0.6384841132595696,-0.07335195795449005,1.085115453256909,-0.6797774356552089,1.2591531166182032e-22
1.0,Positive,High,-0.5884075165605613,-0.01468834462243259,1.175037122726965,-0.6084118425115198,1.794216492165328e-17
1.0,Positive,Low,-0.4881638485038956,-0.0538416747864004,1.0897057310749,-0.6388741309565834,4.879883328060487e-19
2.0,Negative,High,-0.47347043221313045,0.004804030431380862,1.2101464212008457,-0.6690273371874021,5.515800896391735e-22
2.0,Negative,Low,-0.3698464737879037,-0.014301419917929662,1.1613314687809322,-0.5889796203363898,7.581538114031032e-16
2.0,Positive,High,-0.5546365500640609,-0.02028585325695173,1.1634249613470142,-0.7419597275892997,4.673856835960233e-29
2.0,Positive,Low,-0.41587475043462946,-0.02731010411861684,1.1343309395675618,-0.6323529958446088,5.044382633113076e-19
3.0,Negative,High,-0.8114480974772648,-0.12139286873850119,1.0503997124204207,-0.8120598121438294,2.217570696629936e-37
3.0,Negative,Low,-0.5863683821826629,-0.13699737520945743,0.9663629565095128,-0.6991053877936702,2.387124063697534e-24
3.0,Positive,High,-0.5737096464860547,-0.07077934332013981,1.0766286330486858,-0.6325398161009977,6.333914128464281e-19
3.0,Positive,Low,-0.5951138883199455,-0.10479196708272148,1.0239127515935518,-0.6952802753428364,3.843385210224859e-24
4.0,Negative,High,-0.6723268680139678,-0.19931697077241506,0.9035415654870509,-0.6628612061410094,1.7727142576398185e-21
4.0,Negative,Low,-0.8104411699340097,-0.15356663010316574,1.0105147717067853,-0.7877165700929255,5.257105200072295e-34
4.0,Positive,High,-0.6880908395775075,-0.20384926267670586,0.9037465826432587,-0.6908294695328975,9.668184044964747e-23
4.0,Positive,Low,-0.8649522661280282,-0.18479757354826656,0.9863493966256477,-0.7431139961153082,1.7464359038051398e-28
5.0,Negative,High,-0.9427574953956283,0.10516352181824323,1.311548857825958,-0.7576646030003673,2.4329097183685233e-30
5.0,Negative,Low,-0.7281164792285634,0.05362956056243258,1.2736551940415535,-0.660977978541069,4.5004300116352395e-21
5.0,Positive,High,-0.7399369136917174,0.06802832518459627,1.2919380070460158,-0.6727682468384033,9.056729910636316e-22
5.0,Positive,Low,-0.6164139259755256,0.08884515914076864,1.3441323036304929,-0.5393903289033729,3.728456528130505e-13
